,Infected Data,Recovered Data,Death Data,Susceptible,Infected,Recovered
1/30/20,1,0,0,100000.0,3.0,10.0
1/31/20,1,0,0,99999.5536072865,3.332584555899829,10.113808157603147
2/1/20,1,0,0,99999.05772772327,3.702038655248467,10.240233621494825
2/2/20,2,0,0,99998.50663503943,4.112628281967947,10.380736678612156
2/3/20,3,0,0,99997.89448337458,4.568708714453286,10.536807910974858
2/4/20,3,0,0,99997.21483101863,5.075079206109188,10.710089775270532
2/5/20,3,0,0,99996.46020073703,5.637310327203096,10.902488935783396
2/6/20,3,0,0,99995.62207977075,6.261743964865184,11.116176264394275
2/7/20,3,0,0,99994.69091983634,6.955493323088367,11.353586840580611
2/8/20,3,0,0,99993.65613712587,7.726442922728296,11.617419951416458
2/9/20,3,0,0,99992.50611230693,8.583248601503353,11.910639091572488
2/10/20,3,0,0,99991.2281905227,9.53533751399466,12.236471963315978
2/11/20,3,0,0,99989.80868139185,10.592908131646075,12.598410476510823
2/12/20,3,0,0,99988.23191512396,11.767631754153879,13.000453121890356
2/13/20,3,0,0,99986.47894828764,13.073615522536873,13.447436189832903
2/14/20,3,0,0,99984.53299679534,14.523366108412876,13.9436370962477
2/15/20,3,0,0,99982.37418805019,16.131689567846564,14.494122381973149
2/16/20,0,3,0,99979.97901595179,17.916096347213088,15.104887701006549
2/17/20,0,3,0,99977.3203408963,19.896801283198087,15.7828578205041
2/18/20,0,3,0,99974.36738977642,22.096723602797677,16.5358866207809
2/19/20,0,3,0,99971.08575598137,24.54148692331845,17.37275709531095
2/20/20,0,3,0,99967.4373993969,27.259419252377473,18.303181350727144
2/21/20,0,3,0,99963.38064640529,30.28155298790231,19.33780060682128
2/22/20,0,3,0,99958.87018988533,33.64162491813097,20.488185196544052
2/23/20,0,3,0,99953.8570892124,37.376076221611996,21.766834566005063
2/24/20,0,3,0,99948.28877025832,41.52405246720434,23.1871772744728
2/25/20,0,3,0,99942.1090145488,46.12741160803615,24.763573843174587
2/26/20,0,3,0,99935.24198103033,51.242516113372,26.515502856310608
2/27/20,0,3,0,99927.61279724039,56.925099804654224,28.462102954956457
2/28/20,0,3,0,99919.14977767566,63.22862187342773,30.621600450926994
2/29/20,0,3,0,99909.7656601477,70.2180931027807,33.01624674952802
3/1/20,0,3,0,99899.35760578311,77.97007586734455,35.67231834955625
3/2/20,2,3,0,99887.80719902342,86.57268413329402,38.620116843299336
3/3/20,2,3,0,99874.98044762513,96.1255834583471,41.893968916535876
3/4/20,25,3,0,99860.72778265971,106.73999099176501,45.532226348535374
3/5/20,27,3,0,99844.8840585136,118.53867547435229,49.5772660120583
3/6/20,28,3,0,99827.2685528882,131.65595723845675,54.07548987335602
3/7/20,31,3,0,99807.68496679988,146.23770820796943,59.077324992170844
3/8/20,36,3,0,99785.92142457995,162.44135189832463,64.63722352173602
3/9/20,40,3,0,99761.75047387474,180.4358634165,70.81366270877572
3/10/20,52,4,0,99734.92908564549,200.40176946101639,77.66914489350505
3/11/20,57,4,1,99705.18387692915,222.54158554112922,85.27453752973128
3/12/20,68,4,1,99672.14767720914,247.1254356437187,93.7268871471585
3/13/20,76,4,2,99635.50203959015,274.391345518628,103.1066148912264
3/14/20,96,4,2,99594.88376041799,304.6104337916895,113.50580579033883
3/15/20,98,13,2,99549.86485675194,338.1009695766382,125.03417367142872
3/16/20,104,13,2,99499.95256636494,375.22837247511137,137.81906115995804
3/17/20,125,14,3,99444.58934774344,416.40521257664886,152.00543967991783
3/18/20,139,14,3,99383.1528800875,462.09121045869307,167.7559094538282
3/19/20,175,15,4,99314.95606331069,512.7932371865886,185.2506995027383
3/20/20,219,20,5,99239.2470180402,569.0653143135829,204.68766764622637
3/21/20,303,23,4,99155.20908561679,631.5086138808256,226.28230050239964
3/22/20,362,27,7,99061.96082809474,700.7714584173689,250.26771348789447
3/23/20,462,27,10,98958.55602824198,777.549320940167,276.89465081787625
3/24/20,486,40,10,98843.98368953989,862.5848249540778,306.43148550603956
3/25/20,602,43,12,98717.16803618355,956.6677444518605,339.1642193646078
3/26/20,662,45,20,98576.93344967467,1060.634519791128,375.43203053421416
3/27/20,794,73,20,98421.87433262415,1175.4879729521888,415.6376944236721
3/28/20,879,84,24,98250.41661139889,1302.4161643509453,460.16722425018764
3/29/20,902,95,27,98060.82135492559,1442.7122139010219,509.4664311734
3/30/20,1117,102,32,97851.18385663933,1597.7730093836883,564.0431339770003
3/31/20,1239,123,35,97619.43363448342,1769.099206447862,624.4671590687317
4/1/20,1792,148,58,97363.33443090953,1958.2952286101058,691.3703404803894
4/2/20,2280,191,72,97080.48421287756,2167.0692672546306,765.4465198678208
4/3/20,2303,192,72,96768.3151718558,2397.2332816332923,847.4515465109248
4/4/20,2767,229,86,96424.09372382077,2650.7029988655954,938.2032773136528
4/5/20,3260,229,99,96044.92050925732,2929.4979139386887,1038.581576804008
4/6/20,4267,375,136,95627.73039315859,3235.7412897073696,1149.528317134045
4/7/20,4740,421,150,95169.29246502605,3571.660156894081,1272.0473780798718
4/8/20,5232,506,178,94666.21003886945,3939.5853140889126,1407.2046470416474
4/9/20,5879,620,226,94114.9307757727,4341.94217021042,1556.1270540168903
4/10/20,6578,774,246,93513.72423894322,4779.4320178033095,1719.843743253487
4/11/20,7189,969,288,92858.42877604911,5254.7924348422,1899.7787891086932
4/12/20,7794,1080,331,92142.97888961124,5772.38108747062,2097.6400229181427
4/13/20,8914,1181,358,91361.85739586933,6335.977466082881,2315.1651380478033
4/14/20,9735,1359,393,90510.09542478196,6948.7828853240735,2554.1216898939747
4/15/20,10485,1432,405,89583.27242002664,7613.420484090078,2816.3070958832914
4/16/20,11214,1768,448,88577.51613899974,8331.93522552755,3103.548635472721
4/17/20,11825,2041,486,87489.50265281652,9105.793897033931,3417.7034501495637
4/18/20,12738,2463,521,86316.45634631111,9935.88511025744,3760.658543431454
4/19/20,14202,2854,559,85056.14991803656,10822.519301097087,4134.3307808663585
4/20/20,14674,3273,592,83706.90438026478,11765.428729702659,4540.666890032578
4/21/20,15460,3975,645,82267.58905898653,12763.767480474726,4981.643460538747
4/22/20,16319,4370,681,80737.62159391154,13816.111462064633,5459.2669440238315
4/23/20,17344,5012,721,79116.96793846834,14920.458407374528,5975.573654157134
4/24/20,18252,5498,780,77406.14235980439,16074.227873557316,6532.629766638287
4/25/20,19519,5939,825,75604.14317078968,17276.553727264818,7132.3031019455175
4/26/20,20486,6523,881,73710.01702203526,18527.145705991305,7775.837271973441
4/27/20,21375,7137,939,71732.70431512671,19815.580598666987,8464.715086206306
4/28/20,22569,7747,1008,69681.71585996475,21131.156117980085,9200.128022055174
4/29/20,23546,8437,1079,67566.58805424375,22463.478207699874,9982.93373805639
4/30/20,24641,9068,1154,65396.88288345175,23802.461042676663,10813.656073871603
5/1/20,26027,10007,1223,63182.18792087045,25138.327028841817,11692.485050287745
5/2/20,27557,10819,1323,60932.11632757525,26461.60680320773,12619.276869217043
5/3/20,29339,11775,1391,58656.306852435155,27763.13923386785,13593.553913697018
5/4/20,32024,12847,1566,56364.42383211288,29034.07141999666,14614.504747890482
5/5/20,33565,14142,1693,54066.15719106478,30265.858691849695,15680.984117085543
5/6/20,35871,15331,1785,51771.2224415409,31450.26461076353,16791.512947695595
5/7/20,37686,16776,1889,49489.36068358492,32579.360969155787,17944.278347259322
5/8/20,39823,17887,1985,47230.3386050342,33645.52779052512,19137.133604440707
5/9/20,41406,19301,2101,45003.948481519765,34641.45332945124,20367.59818902903
5/10/20,43980,20969,2212,42820.00817646629,35560.1340715949,21632.857751938853
5/11/20,45925,22549,2294,40688.36114109214,36394.874733697885,22929.764125210033
5/12/20,47457,24420,2415,38618.87641440929,37139.28826358303,24254.835322007722
5/13/20,49104,26400,2551,36621.448623223456,37787.29584015423,25604.255536622357
5/14/20,51379,27969,2649,34705.31974770351,38333.5685624275,26974.111689868998
5/15/20,52773,30258,2753,32872.10763238928,38779.03353955787,28361.85882805285
5/16/20,53553,34224,2871,31120.99023370683,39127.91311030897,29764.096655984205
5/17/20,55878,36795,3025,29451.334715867553,39384.34603450885,31177.319249623597
5/18/20,57939,39233,3156,27862.30277989999,39552.50795469791,32598.189265402107
05/19/20,,,,26352.850663649828,39636.61139612881,34023.53794022137
05/20/20,,,,24921.729141779906,39640.905766766526,35450.36509145357
05/21/20,,,,23567.483525770207,39569.677357288354,36875.83911694144
05/22/20,,,,22288.453663917866,39427.24934108389,38297.29699499825
05/23/20,,,,21082.773941337153,39217.98177425501,39712.24428440784
05/24/20,,,,19948.37327995951,38946.27159561592,41118.355124424575
05/25/20,,,,18882.97513853349,38616.552626693134,42513.472234773384
05/26/20,,,,17884.097512624823,38233.295571725444,43895.60691564974
05/27/20,,,,16949.052934616386,37801.00801766396,45262.93904771967
05/28/20,,,,16074.948473708177,37324.2344341721,46613.81709211974
05/29/20,,,,15258.685735917374,36807.556173625584,47946.758090457064
05/30/20,,,,14496.960864078275,36255.59147111243,49260.447664809326
05/31/20,,,,13786.26453784234,35672.99544443296,50553.74001772472
06/01/20,,,,13122.881973678177,35064.46009409981,51825.657932222035
06/02/20,,,,12502.892924871543,34434.71430333792,53075.392771790575
06/03/20,,,,11922.171681525324,33788.523838084526,54302.30448039019
06/04/20,,,,11376.387070559576,33130.69134698916,55505.92158245131
06/05/20,,,,10862.771838438663,32464.83117249198,56685.396989069355
06/06/20,,,,10384.039489034074,31790.204516254682,57838.755994711246
06/07/20,,,,9937.748065067262,31109.017566572373,58966.23436836036
06/08/20,,,,9521.026453767176,30423.705280294093,60068.26826593873
06/09/20,,,,9131.193267785158,29736.52818323885,61145.27854897599
06/10/20,,,,8765.756845194936,29049.57237019563,62197.670784609436
06/11/20,,,,8422.415249492624,28364.749504923395,63225.835245583985
06/12/20,,,,8099.056269596726,27683.796820151085,64230.14691025219
06/13/20,,,,7793.757419848139,27008.277117577614,65210.965462574255
06/14/20,,,,7504.78594001014,26339.578767871863,66168.635292118
06/15/20,,,,7230.598795268399,25678.9157106727,67103.4854940589
06/16/20,,,,6969.842676230975,25027.327454588965,68015.82986918006
06/17/20,,,,6721.353998928309,24385.679077199467,68905.96692387223
06/18/20,,,,6484.158904813237,23754.661225053,69774.17987013377
06/19/20,,,,6257.473260760984,23134.79011366832,70620.73662557069
06/20/20,,,,6040.702659069153,22526.407527534182,71445.88981339667
06/21/20,,,,5833.442417457749,21929.68082010929,72249.87676243296
06/22/20,,,,5635.477579069154,21344.602913822335,73032.91950710851
06/23/20,,,,5446.782912468143,20770.992300071983,73795.22478745988
06/24/20,,,,5267.522911641881,20208.493039226876,74536.98404913125
06/25/20,,,,5098.051795999915,19656.574760625634,75258.37344337447
06/26/20,,,,4938.913510374186,19114.532662576843,75959.55382704898
06/27/20,,,,4790.841725019022,18581.48751235907,76640.67076262193
06/28/20,,,,4654.759835611138,18056.385646220857,77301.85451816802
06/29/20,,,,4531.780963249637,17537.99896938073,77943.22006736965
06/30/20,,,,4421.725070490011,17026.205092960117,78565.06983654987
07/01/20,,,,4318.139555383782,16526.24000222394,79168.62044239226
07/02/20,,,,4219.844110904734,16038.721616409211,79754.43427268605
07/03/20,,,,4126.562147574608,15563.488274602123,80322.94957782325
07/04/20,,,,4038.0269600866523,15100.374370816544,80874.5986690968
07/05/20,,,,3953.9817273056165,14649.210353993998,81409.80791870038
07/06/20,,,,3874.1795122677568,14209.82272800367,81928.99775972856
07/07/20,,,,3798.3832621808338,13782.034051642404,82432.58268617676
07/08/20,,,,3726.365808424112,13365.662938634707,82920.97125294118
07/09/20,,,,3657.909866548362,12960.524057632745,83394.56607581889
07/10/20,,,,3592.8080362758574,12566.428132216344,83853.7638315078
07/11/20,,,,3530.8628015003774,12183.181940892995,84298.95525760662
07/12/20,,,,3471.8865302872055,11810.588317097845,84730.52515261494
07/13/20,,,,3415.7014748731303,11448.446149193696,85148.85237593316
07/14/20,,,,3362.139771666444,11096.550380471024,85554.30984786252
07/15/20,,,,3311.043441246945,10754.692009147959,85947.26454960508
07/16/20,,,,3262.264388365935,10422.658088370288,86328.07752326377
07/17/20,,,,3215.66440194622,10100.231726211463,86697.10387184231
07/18/20,,,,3171.1151550821123,9787.192085672597,87054.69275924528
07/19/20,,,,3128.498205039428,9483.314384682457,87401.1874102781
07/20/20,,,,3087.7049932554864,9188.369896097482,87736.92511064702
07/21/20,,,,3048.6368453391156,8902.12594770176,88062.23720695912
07/22/20,,,,3011.2049710706424,8624.345922207047,88377.4491067223
07/23/20,,,,2975.325524416242,8354.77027345497,88682.90420212878
07/24/20,,,,2940.927307103016,8093.155351174472,88978.9173417225
07/25/20,,,,2907.953915613601,7839.306346299651,89265.73973808673
07/26/20,,,,2876.35023091683,7593.031218228638,89543.61855085452
07/27/20,,,,2846.0623158251938,7354.140309278289,89812.7973748965
07/28/20,,,,2817.037414994841,7122.44634468418,90073.51624032097
07/29/20,,,,2789.223954925579,6897.764432600608,90326.0116124738
07/30/20,,,,2762.571543960874,6679.912064100591,90570.51639193852
07/31/20,,,,2737.0309722878483,6468.709113175868,90807.25991453628
08/01/20,,,,2712.554211937284,6263.977836736898,91036.46795132582
08/02/20,,,,2689.094416783621,6065.542874612864,91258.36270860351
08/03/20,,,,2666.605922544957,5873.231249551664,91473.16282790338
08/04/20,,,,2645.0442467830485,5686.872367219925,91681.08338599702
08/05/20,,,,2624.36608890331,5506.298016202987,91882.3358948937
08/06/20,,,,2604.5293301548136,5331.342368004918,92077.12830184026
08/07/20,,,,2585.4930336302896,5161.841977048502,92265.6649893212
08/08/20,,,,2567.2174442661276,4997.635780675246,92448.14677505862
08/09/20,,,,2549.6639888423742,4838.565099145377,92624.77091201225
08/10/20,,,,2532.795275982735,4684.4736356378435,92795.73108837941
